frame_stamp,cluster_count
1774797665.395943597,4
1774797665.491725850,4
1774797665.591438769,4
1774797665.691730349,3
1774797665.791508069,3
1774797665.891400592,3
1774797665.991656803,3
1774797666.091439485,3
1774797666.191582826,3
1774797666.291576311,4
1774797666.391745188,4
1774797666.491572292,4
1774797666.591517003,4
1774797666.691556528,4
1774797666.791450382,4
1774797666.891560572,4
1774797666.991734690,3
1774797667.091552616,3
1774797667.191750111,3
1774797667.291569355,3
1774797667.391704973,3
1774797667.491842188,3
1774797667.591482706,4
1774797667.691526443,4
1774797667.791596149,4
1774797667.891671929,4
1774797667.991580390,4
1774797668.091498464,4
1774797668.191612779,4
1774797668.291617235,4
1774797668.391561770,3
1774797668.491542645,3
1774797668.591495471,3
1774797668.691378224,3
1774797668.791467644,3
1774797668.891707108,3
1774797668.991793263,4
1774797669.091507295,4
1774797669.191606999,4
1774797669.291564685,4
1774797669.391724510,4
1774797669.491658870,4
1774797669.591539439,4
1774797669.691742069,4
1774797669.791569310,4
1774797669.891669631,4
1774797669.991638116,4
1774797670.091584368,4
1774797670.191740653,4
1774797670.291504507,4
1774797670.391474134,4
1774797670.491729211,4
1774797670.591533543,4
1774797670.691810769,4
1774797670.791538779,4
1774797670.891547097,4
1774797670.991529816,4
1774797671.091503286,4
1774797671.191521825,4
1774797671.291626898,4
1774797671.391513525,4
1774797671.491582878,4
1774797671.591529815,4
1774797671.691519012,4
1774797671.791444321,4
1774797671.891533845,4
1774797671.991594362,4
1774797672.091498041,4
1774797672.191650184,4
1774797672.291504651,4
1774797672.391515003,4
1774797672.491690863,4
1774797672.591485043,4
1774797672.691408774,4
1774797672.791488988,4
1774797672.891632798,4
1774797672.991493240,4
1774797673.091521640,4
1774797673.191526730,4
1774797673.291470475,3
1774797673.391533354,4
1774797673.491472837,3
1774797673.591706022,3
1774797673.691558159,3
1774797673.791475212,3
1774797673.891505368,3
1774797673.991500880,3
1774797674.091695092,4
1774797674.191474143,4
1774797674.291763946,4
1774797674.391513336,4
1774797674.491502126,4
1774797674.591606281,4
1774797674.691530589,3
1774797674.791457470,3
1774797674.891509142,3
1774797674.991678322,3
1774797675.091532309,3
1774797675.191523295,3
1774797675.291517774,3
1774797675.391453910,3
1774797675.491510016,4
1774797675.591391109,4
1774797675.691494541,4
1774797675.791509974,4
1774797675.891803658,4
1774797675.991518007,4
1774797676.091496505,4
1774797676.191490334,4
1774797676.291627245,3
1774797676.391498473,3
